,lieu,mar_diminutif,montant_2023,montant_2024,Montant 2025 HT
196,Orly,Divers,0,47000,-
197,Orly,Détection,5200,9800,13000
198,Orly,Eclairage,8100,1400,33000
199,Orly,MEC,4800,30000,12000
200,Orly,PAU/TSE,2100,1500,790
201,Orly,Pompage,6900,8700,3800
202,Orly,Propreté,5200,6000,19000
203,Orly,Ventilation,970,990,2100
204,Orly,Vidéo,14000,9900,11000
205,Sévines,AEV,3100,6300,7100
206,Sévines,Automate,580,540,760
207,Sévines,Bâtiment,0,1700,11000
208,Sévines,ContReg,0,4300,4200
209,Sévines,Divers,32000,38000,-
210,Sévines,Détection,15000,24000,25000
211,Sévines,MEC,4600,9900,6500
212,Sévines,PAU/TSE,1700,2600,690
213,Sévines,Pompage,650,1400,1400
214,Sévines,Propreté,8000,22000,19000
215,Sévines,Ventilation,660,0,2000
216,Sévines,Vidéo,13000,0,10000
217,Taverny,AEV,3300,3400,6000
218,Taverny,Automate,320,810,2100
219,Taverny,Bâtiment,1800,2000,25000
220,Taverny,ContReg,1300,4300,1400
221,Taverny,Divers,17000,23000,-
222,Taverny,Détection,6300,17000,24000
223,Taverny,Eclairage,13000,910,41000
224,Taverny,MEC,4900,22000,7200
225,Taverny,Propreté,9200,9600,19000
226,Taverny,Ventilation,4500,5000,5500
227,Taverny,Vidéo,8000,3400,6700
228,Thiais,AEV,11000,5600,17000
229,Thiais,Automate,1400,6500,2000
230,Thiais,Bâtiment,8800,12000,55000
231,Thiais,ContReg,17000,17000,4400
232,Thiais,Divers,32000,47000,-
233,Thiais,Détection,20000,55000,52000
234,Thiais,Eclairage,29000,30000,130000
235,Thiais,MEC,50000,49000,21000
236,Thiais,Onduleur,1400,1900,1700
237,Thiais,PAU/TSE,0,3100,2500
238,Thiais,Pompage,3600,0,5200
239,Thiais,Propreté,52000,62000,43000
240,Thiais,Ventilation,22000,22000,22000
241,Thiais,Vidéo,28000,14000,20000
242,Divers,ContReg,-,-,7400
243,Divers,Automate,-,-,7100
244,Divers,AEV,-,-,62
245,Divers,PAU/TSE,-,-,58
246,Divers,MEC,-,-,47000
247,Divers,Eclairage,-,-,4000
248,Divers,Détection,-,-,1400
249,Divers,Divers,34000,57000,-
250,Divers,Pompage,25000,0,-
251,Divers,Ventilation,5000,0,-
