,Unnamed: 0,mar_diminutif,tunnel,prdp_code,prod_groupe,ref_prix,freq_annuelle,ajust_freq_suppl,frq_totale,nb_equipe,cout_ht,cout_total,equipements,nomb_equipe
56,56,Vidéo,Saint-Cloud,VIDCAM327,Nettoyage des caméras sens intérieur sens 2,VI MP 327,2.0,0.0,2.0,1.0,1696.19,3392.38,,1.0
57,57,Vidéo,Saint-Cloud,VIDPCI413,Maintenance préventive des caméras en issues de secours,VI MP 413,1.0,0.0,1.0,1.0,201.81,201.81,,1.0
58,58,Pompage,Saint-Cloud,POMIND215,Entretien des poteaux incendie,INP310,1.0,0.0,1.0,1.0,1922.0,1922.0,,1.0
59,59,Pompage,Saint-Cloud,POMVSP324,Visite des stations de pompage,POP324,3.0,0.0,3.0,1.0,429.61,1288.83,,1.0
60,60,Pompage,Saint-Cloud,POMEPO600,Entretien d'une pompe,POE600,1.0,0.0,1.0,0.0,572.06,0.0,,0.0
61,61,Pompage,Saint-Cloud,POMESP324,Entretien des stations de pompage,POE324,1.0,0.0,1.0,1.0,858.61,858.61,,1.0
62,62,Pompage,Saint-Cloud,POMERC500,Entretien autres systèmes du réseau incendie,INP500,1.0,0.0,1.0,0.0,858.61,0.0,SURPRESSEUR-INCENDIE,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Saint-Cloud"", 'Equipements par tunnel'!B:B, ""SURPRESSEUR-INCENDIE"")"
63,63,Pompage,Saint-Cloud,POMERD600,Entretien autres systèmes du réseau incendie,INP600,1.0,0.0,1.0,0.0,858.61,0.0,,0.0
64,64,Pompage,Saint-Cloud,POMERE700,Entretien autres systèmes du réseau incendie,INP700,1.0,0.0,1.0,0.0,214.65,0.0,,0.0
65,65,Pompage,Saint-Cloud,POMERF800,Entretien autres systèmes du réseau incendie,INP800,1.0,0.0,1.0,0.0,214.65,0.0,,0.0
66,66,Pompage,Saint-Cloud,POMERG900,Entretien autres systèmes du réseau incendie,INP900,1.0,0.0,1.0,0.0,208.4,0.0,,0.0
67,67,Pompage,Saint-Cloud,POMERG901,Entretien autres systèmes du réseau incendie,INP901,1.0,0.0,1.0,0.0,714.81,0.0,,0.0
68,68,Bâtiment,Boissy,BATCJE001,Contrôle des IS de jour,VJE001,6.0,0.0,6.0,1.0,507.0,3042.0,,1.0
69,69,Bâtiment,Boissy,BATCJE002,Contrôle des IS de jour,VJE002,6.0,0.0,6.0,1.0,507.0,3042.0,,1.0
70,70,Bâtiment,Boissy,BATCNE001,Contrôle des IS + niches de nuit,VNE001,6.0,0.0,6.0,1.0,1306.0,7836.0,,1.0
71,71,Bâtiment,Boissy,BATCNE002,Contrôle des IS + niches de nuit,VNE002,6.0,0.0,6.0,1.0,1306.0,7836.0,,1.0
72,72,Bâtiment,Boissy,BATMPE001,Préventif IS + niches,MPE001,1.0,0.0,1.0,1.0,1407.0,1407.0,,1.0
73,73,Bâtiment,Boissy,BATMPE002,Préventif IS + niches,MPE002,1.0,0.0,1.0,1.0,1407.0,1407.0,,1.0
74,74,Propreté,Boissy,PRPLTB030,Lavage d'un tube,POL030,2.0,0.0,2.0,2.0,8706.5,34826.0,,2.0
75,75,ContReg,Boissy,CRGVPA106,Vérification des installations électriques,CRC106,1.0,0.0,1.0,1.0,486.45,486.45,,1.0
76,76,ContReg,Boissy,CRGVPA107,Vérification des installations électriques,CRC107,1.0,0.0,1.0,1.0,864.8,864.8,,1.0
77,77,ContReg,Boissy,CRGVIE110,Vérification des installations électriques,CRE110,1.0,0.0,1.0,1.0,2594.4,2594.4,,1.0
78,78,ContReg,Boissy,CRGDLA101,Vérification des dispositifs de levage,CRC101,1.0,0.0,1.0,0.0,648.6,0.0,Dispositif de levage inférieur ou égal à 3 tonnes,"=SUMIFS('Equipements par tunnel'!C:C, 'Equipements par tunnel'!A:A, ""Boissy"", 'Equipements par tunnel'!B:B, ""Dispositif de levage inférieur ou égal à 3 tonnes"")"
