,tunnel,mar_diminutif,prdp_code,prod_groupe,ref_prix,form_typ,frq_totale,nb_equipe,coeff,cout_ht,cout_total
69,Nanterre Centre,Propreté,PRPLTB006,Lavage d'un tube,POL006,direct_reference,2.0,1.0,1.0,10734.42,21468.84
70,Nanterre Centre,ContReg,CRGVPA106,Vérification des installations électriques,CRC106,direct_reference,1.0,1.0,1.0,486.45,486.45
71,Nanterre Centre,ContReg,CRGVPA107,Vérification des installations électriques,CRC107,direct_reference,1.0,1.0,1.0,864.8,864.8
72,Nanterre Centre,ContReg,CRGVIO103,Vérification des installations électriques,CRO103,sum_10,1.0,0.5,1.0,864.8,432.4
73,Nanterre Centre,ContReg,CRGVIO104,Vérification des installations électriques,CRO104,sum_10,1.0,0.5,1.0,648.6,324.3
74,Nanterre Centre,ContReg,CRGVIO105,Vérification des installations électriques,CRO105,sum_10,1.0,0.5,1.0,648.6,324.3
75,Nanterre Centre,ContReg,CRGVIO106,Vérification des installations électriques,CRO106,sum_10,1.0,0.5,1.0,864.8,432.4
76,Nanterre Centre,ContReg,CRGVIO107,Vérification des installations électriques,CRO107,sum_10,1.0,0.5,1.0,432.4,216.2
77,Nanterre Centre,ContReg,CRGVIO108,Vérification des installations électriques,CRO108,sum_10,1.0,0.5,1.0,864.8,432.4
78,Nanterre Centre,ContReg,CRGVIO109,Vérification des installations électriques,CRO109,sum_10,1.0,0.5,1.0,864.8,432.4
79,Nanterre Centre,ContReg,CRGVIO110,Vérification des installations électriques,CRO110,sum_10,1.0,0.5,1.0,432.4,216.2
80,Nanterre Centre,ContReg,CRGVIO111,Vérification des installations électriques,CRO111,sum_10,1.0,0.5,1.0,432.4,216.2
81,Nanterre Centre,ContReg,CRGVIO112,Vérification des installations électriques,CRO112,sum_10,1.0,0.5,1.0,648.6,324.3
82,Nanterre Centre,ContReg,CRGDLA101,Vérification des dispositifs de levage,CRC101,direct_reference,1.0,0.0,1.0,648.6,0.0
83,Nanterre Centre,ContReg,CRGDLB102,Vérification des dispositifs de levage,CRC102,direct_reference,1.0,32.0,1.0,864.8,27673.6
84,Nanterre Centre,ContReg,CRGDLC103,Vérification des dispositifs de levage,CRC103,direct_reference,1.0,0.0,1.0,1081.0,0.0
85,Nanterre Centre,Eclairage,ECLNPO003,Nettoyage des plots de jalonnement pour un sens,ECPO03,sum_2,2.0,2.0,1.0,1387.01,5548.04
86,Nanterre Centre,Eclairage,ECLNPO004,Nettoyage des plots de jalonnement pour un sens,ECPO04,sum_2,2.0,2.0,1.0,651.59,2606.36
87,Nanterre Centre,Eclairage,ECLNEO014,Nettoyage de l'éclairage pour un sens,ECPO14,sum_2,2.0,2.0,1.0,6644.86,26579.44
88,Nanterre Centre,Eclairage,ECLNEO016,Nettoyage de l'éclairage pour un sens,ECPO16,sum_2,2.0,2.0,1.0,9244.22,36976.88
89,Nanterre Centre,Eclairage,ECLRSO050,Remplacement systématiques des sources,ECPO50,sum_6,0.4,0.3333333333333333,1.0,58716.81,7828.91
90,Nanterre Centre,Eclairage,ECLRSO051,Remplacement systématiques des sources,ECPO51,sum_6,0.4,0.3333333333333333,1.0,59906.1,7987.48
91,Nanterre Centre,Eclairage,ECLRSO052,Remplacement systématiques des sources,ECPO52,sum_6,0.4,0.3333333333333333,1.0,51784.98,6904.66
92,Nanterre Centre,Eclairage,ECLRSO053,Remplacement systématiques des sources,ECPO53,sum_6,0.4,0.3333333333333333,1.0,52090.78,6945.44
93,Nanterre Centre,Eclairage,ECLRSO054,Remplacement systématiques des sources,ECPO54,sum_6,0.4,0.3333333333333333,1.0,18484.94,2464.66
94,Nanterre Centre,Eclairage,ECLRSO055,Remplacement systématiques des sources,ECPO55,sum_6,0.4,0.3333333333333333,1.0,16751.96,2233.59
95,Nanterre Centre,AEV,AEVEFO012,Essais fonctionnels pour un sens,AEFO12,sum_2,2.0,2.0,1.0,711.0,2844.0
96,Nanterre Centre,AEV,AEVEFO013,Essais fonctionnels pour un sens,AEFO13,sum_2,2.0,2.0,1.0,1157.68,4630.72
97,Nanterre Centre,AEV,AEVMPO012,Maintenance préventive pour un sens,AEPO12,sum_2,2.0,2.0,1.0,2034.21,8136.84
98,Nanterre Centre,AEV,AEVMPO013,Maintenance préventive pour un sens,AEPO13,sum_2,2.0,2.0,1.0,3638.64,14554.56
99,Nanterre Centre,AEV,AEVPLV008,Maintenance préventive prises/coffret pompier,AEV08,direct_reference,1.0,22.0,1.0,61.7,1357.4
100,Nanterre Centre,Automate,AUTPAB005,Préventif automates principaux et baies MESD (fiche n°3 du CCTP),AUPR05,direct_reference,1.0,1.0,1.0,385.79808999999995,385.8
101,Nanterre Centre,Automate,AUTPAR006,Préventif armoires MESD (fiche n°4 du CCTP),AUPR06,direct_reference,1.0,1.0,1.0,829.3215799999999,829.32
102,Nanterre Centre,Automate,AUTPAM047,Préventif automates métier (fiche n°5 du CCTP),AUPR47,direct_reference,1.0,3.0,1.0,202.4713,607.41
103,Nanterre Centre,Automate,AUTPAR048,Préventif armoires MESD (fiche n°4 du CCTP),AUPR48,direct_reference,1.0,0.0,1.0,91.39855,0.0
104,Nanterre Centre,PAU/TSE,RTSPPO003,Maintenance préventive de l'ensemble des PAU du tunnel,RAU-PO03,direct_reference,4.0,1.0,1.0,1182.73,4730.92
105,Nanterre Centre,PAU/TSE,RTSPTO003,Maintenance préventive de l'ensemble des TSE du tunnel,TSE-PO03,direct_reference,4.0,1.0,1.0,539.81,2159.24
106,Nanterre Centre,Onduleur,ONDPOA001,Maintenance préventive d'un onduleur,ONP001,direct_reference,1.0,1.0,1.0,304.01,304.01
107,Nanterre Centre,Onduleur,ONDPOB002,Maintenance préventive d'un onduleur,ONP002,direct_reference,1.0,1.0,1.0,337.95,337.95
108,Nanterre Centre,Onduleur,ONDPOC003,Maintenance préventive d'un onduleur,ONP003,direct_reference,1.0,1.0,1.0,371.88,371.88
109,Nanterre Centre,Onduleur,ONDMPA004,Maintenance préventive d'un atelier d'énergie,ONP004,direct_reference,1.0,0.0,1.0,185.94,0.0
110,Nanterre Centre,Onduleur,ONDPLV005,Plus-value pour dépollution,ONP005,direct_reference,0.5,2.0,1.0,414.3,414.3
111,Nanterre Centre,Détection,DETPCA008,"Préventif d'un tube des capteurs atmosphériques (opacimètres, CO, NO, NO², smokecheck, anémomètres)",DEP008,direct_reference,4.0,2.0,1.0,3109.05,24872.4
112,Nanterre Centre,Détection,DETPLV027,Préventif luminancemètre,DEP027,direct_reference,1.0,4.0,1.0,24.15,96.6
113,Nanterre Centre,Détection,DETPDI101,Préventif détection incendie,DEP101,direct_reference,1.0,1.0,1.0,698.25,698.25
114,Nanterre Centre,Détection,DETPXA200,Préventif extincteur,DEP200,direct_reference,1.0,26.0,1.0,33.6,873.6
115,Nanterre Centre,Détection,DETPXB201,Préventif extincteur,DEP201,direct_reference,1.0,0.0,1.0,21.0,0.0
116,Nanterre Centre,Détection,DETPXC202,Préventif extincteur,DEP202,direct_reference,1.0,0.0,1.0,36.75,0.0
117,Nanterre Centre,Détection,DETPXD203,Préventif extincteur,DEP203,direct_reference,1.0,8.0,1.0,15.75,126.0
118,Nanterre Centre,Détection,DETPXE204,Préventif extincteur,DEP204,direct_reference,1.0,0.0,1.0,23.1,0.0
119,Nanterre Centre,Détection,DETPXF204,Préventif extincteur,DEP205,direct_reference,1.0,0.0,1.0,26.25,0.0
120,Nanterre Centre,Détection,DETPXG206,Préventif extincteur,DEP206,direct_reference,1.0,0.0,1.0,15.75,0.0
121,Nanterre Centre,Ventilation,VENPEO201,Préventif des équipements de ventilation,VPO201,direct_reference,1.0,0.3333333333333333,1.0,40523.99,13508.0
122,Nanterre Centre,Ventilation,VENPQA300,Maintenance préventive des équipements spécifiques,VPT300,direct_reference,1.0,13.0,1.0,78.85,1025.05
123,Nanterre Centre,Ventilation,VENPQB301,Maintenance préventive des équipements spécifiques,VPT301,direct_reference,1.0,39.0,1.0,128.27,5002.53
124,Nanterre Centre,Ventilation,VENPQC302,Maintenance préventive des équipements spécifiques,VPT302,direct_reference,1.0,0.0,1.0,449.49,0.0
125,Nanterre Centre,Ventilation,VENPQE304,Maintenance préventive des équipements spécifiques,VPT304,direct_reference,1.0,0.0,1.0,12.58,0.0
126,Nanterre Centre,Ventilation,VENPQF305,Maintenance préventive des équipements spécifiques,VPT305,direct_reference,1.0,0.0,1.0,12.58,0.0
127,Nanterre Centre,Vidéo,VIDDAI120,Maintenance préventive de la DAI du sens 1,VI MP 120,sum_2,1.0,1.0,1.0,3341.64,3341.64
128,Nanterre Centre,Vidéo,VIDDAI121,Maintenance préventive de la DAI du sens 2,VI MP 121,sum_2,1.0,1.0,1.0,3341.64,3341.64
129,Nanterre Centre,Vidéo,VIDCAM320,Nettoyage des caméras sens intérieur sens 1,VI MP 320,sum_2,2.0,1.0,1.0,3174.6,6349.2
130,Nanterre Centre,Vidéo,VIDCAM321,Nettoyage des caméras sens intérieur sens 2,VI MP 321,sum_2,2.0,1.0,1.0,1696.19,3392.38
131,Nanterre Centre,Vidéo,VIDPCI410,Maintenance préventive des caméras en issues de secours,VI MP 410,direct_reference,1.0,1.0,1.0,186.25,186.25
132,Nanterre Centre,Pompage,POMIND212,Entretien des poteaux incendie,INP307,direct_reference,1.0,1.0,1.0,1922.0,1922.0
133,Nanterre Centre,Pompage,,,,direct_value,3.0,1.0,1.0,0.0,0.0
134,Nanterre Centre,Pompage,POMEPO600,Entretien d'une pompe,POE600,direct_reference,1.0,0.0,1.0,572.06,0.0
135,Nanterre Centre,Pompage,,,,direct_value,1.0,2.0,1.0,0.0,0.0
136,Nanterre Centre,Pompage,POMERC500,Entretien autres systèmes du réseau incendie,INP500,direct_reference,1.0,1.0,1.0,858.61,858.61
137,Nanterre Centre,Pompage,POMERD600,Entretien autres systèmes du réseau incendie,INP600,direct_reference,1.0,0.0,1.0,858.61,0.0
138,Nanterre Centre,Pompage,POMERE700,Entretien autres systèmes du réseau incendie,INP700,direct_reference,1.0,0.0,1.0,214.65,0.0
139,Nanterre Centre,Pompage,POMERF800,Entretien autres systèmes du réseau incendie,INP800,direct_reference,1.0,0.0,1.0,214.65,0.0
140,Nanterre Centre,Pompage,POMERG900,Entretien autres systèmes du réseau incendie,INP900,direct_reference,1.0,0.0,1.0,208.4,0.0
141,Nanterre Centre,Pompage,POMERG901,Entretien autres systèmes du réseau incendie,INP901,direct_reference,1.0,2.0,1.0,714.81,1429.62
142,Moulin,Bâtiment,BATCJE005,Contrôle des IS de jour,VJE005,sum_2,6.0,0.5,1.0,1522.0,4566.0
143,Moulin,Bâtiment,BATCJE006,Contrôle des IS de jour,VJE006,sum_2,6.0,0.5,1.0,1522.0,4566.0
144,Moulin,Bâtiment,BATCNE005,Contrôle des IS + niches de nuit,VNE005,sum_2,6.0,0.5,1.0,2611.0,7833.0
